NAME,B25064_001E,B25070_007E,B25070_008E,B25070_009E,B25070_010E,B25070_001E,B25070_011E,B25002_003E,B25002_001E,B08013_001E,B08012_001E,B17001_002E,B17001_001E,B23025_002E,B23025_001E,metropolitan statistical area/micropolitan statistical area,metropolitan division,geo_level,geo_code,parent_cbsa,year
"Goldsboro, NC Metro Area",777,1463,1103,1581,3635,18311,2238,5948,54291,1162845,52466,24383,120420,58902,97607,24140,,msa,24140,,2019
"Granbury, TX Micro Area",961,417,387,381,1057,5018,509,4244,26396,777440,23169,5615,57594,25800,47445,24180,,msa,24180,,2019
"Grand Forks, ND-MN Metro Area",804,1300,1117,1728,4368,19111,1177,4827,47913,820165,51762,14241,96327,57490,81720,24220,,msa,24220,,2019
"Grand Island, NE Metro Area",757,798,363,795,1885,10196,700,2565,31754,674870,36980,8498,74065,40445,57661,24260,,msa,24260,,2019
"Grand Junction, CO Metro Area",963,1691,1284,1802,5019,19649,826,4857,66599,1257295,64287,21032,147871,75903,122073,24300,,msa,24300,,2019
"Grand Rapids, MN Micro Area",696,272,296,153,988,3653,370,8161,27667,428690,18420,5376,44098,21005,36888,24330,,msa,24330,,2019
"Grand Rapids-Kentwood, MI Metro Area",884,9033,6048,8608,22705,106554,5913,26416,417649,11064130,508094,114124,1034962,564570,834582,24340,,msa,24340,,2019
"Grants, NM Micro Area",660,211,62,173,301,2727,593,2689,11397,198250,8377,6660,25489,10685,21370,24380,,msa,24380,,2019
"Grants Pass, OR Metro Area",908,1136,1087,1039,3382,12251,790,2736,39103,563120,29703,15384,84901,35044,71435,24420,,msa,24420,,2019
"Great Bend, KS Micro Area",648,333,134,198,464,3160,252,2109,12733,207005,12606,3978,25853,13809,20859,24460,,msa,24460,,2019
"Great Falls, MT Metro Area",770,910,944,1202,2251,12230,942,4528,38857,588235,37103,10561,79394,40697,64975,24500,,msa,24500,,2019
"Greeley, CO Metro Area",1085,2551,1669,2356,6062,28350,2429,4499,109170,3903735,140840,29866,298294,159185,233287,24540,,msa,24540,,2019
"Green Bay, WI Metro Area",784,3818,2014,3078,6973,41510,2059,13624,143272,3173950,158507,29788,311434,173921,253732,24580,,msa,24580,,2019
"Greeneville, TN Micro Area",620,401,494,454,1017,7126,1461,5138,32534,618340,26829,11119,66720,29984,57193,24620,,msa,24620,,2019
"Greensboro-High Point, NC Metro Area",834,8828,7618,9998,22827,111406,8548,36954,334870,7607875,333586,118252,740448,380102,613000,24660,,msa,24660,,2019
"Greensburg, IN Micro Area",791,208,168,189,399,3123,248,1033,11386,280145,12839,2981,26023,13773,20941,24700,,msa,24700,,2019
"Greenville, MS Micro Area",681,638,353,829,2456,8474,1338,3603,21591,270180,15945,15399,45449,18897,35361,24740,,msa,24740,,2019
"Greenville, NC Metro Area",794,2475,1365,2725,10053,33421,2457,9585,79384,1649140,79542,39314,171321,91863,144334,24780,,msa,24780,,2019
"Greenville, OH Micro Area",673,295,180,442,828,5675,564,2042,22903,544185,23552,5331,50719,25877,40635,24820,,msa,24820,,2019
"Greenville-Anderson, SC Metro Area",855,8668,6251,7895,22413,107960,9279,41648,384918,9446760,396046,117707,871508,445386,717455,24860,,msa,24860,,2019
"Greenwood, MS Micro Area",563,445,253,493,1295,5641,1443,4518,18307,231750,12201,11936,37763,13866,30302,24900,,msa,24900,,2019
"Greenwood, SC Micro Area",733,778,675,722,2433,9931,766,3841,31453,624755,29150,14105,67912,32802,56078,24940,,msa,24940,,2019
"Grenada, MS Micro Area",682,248,52,249,459,3024,530,1852,10243,152030,8113,4362,20705,8893,16756,24980,,msa,24980,,2019
"Guayama, PR Metro Area",391,472,257,453,1442,7186,2241,9298,35372,424900,16569,39109,73450,19817,62156,25020,,msa,25020,,2019
"Gulfport-Biloxi, MS Metro Area",881,4231,3021,4796,13534,56219,5386,30638,187535,4358180,174057,74860,404087,197814,326959,25060,,msa,25060,,2019
"Guymon, OK Micro Area",771,234,24,118,255,2167,471,1464,8232,150185,10292,3988,20311,11087,15530,25100,,msa,25100,,2019
"Hagerstown-Martinsburg, MD-WV Metro Area",945,2704,1854,1982,6260,31506,2463,12619,120060,3825165,124674,32586,272941,140788,227204,25180,,msa,25180,,2019
"Hailey, ID Micro Area",927,186,229,164,427,2490,366,7856,16245,230670,11357,2960,23378,13084,18862,25200,,msa,25200,,2019
"Hammond, LA Metro Area",832,978,705,1132,4379,14757,1926,7728,55325,1740370,55027,27511,128283,62437,102868,25220,,msa,25220,,2019
"Hanford-Corcoran, CA Metro Area",990,1962,1454,1871,4022,20719,1393,2729,46181,1234020,54159,24725,135855,63270,113805,25260,,msa,25260,,2019
"Hannibal, MO Micro Area",680,303,165,346,740,4678,611,2633,18234,330835,16796,6066,37238,18877,30830,25300,,msa,25300,,2019
"Harrisburg-Carlisle, PA Metro Area",956,6195,4125,5615,14529,74705,3787,20958,251205,6247720,270715,53947,552146,302526,462513,25420,,msa,25420,,2019
"Harrison, AR Micro Area",631,377,257,250,633,4705,682,3740,21710,384730,17807,6595,44375,19942,35990,25460,,msa,25460,,2019
"Harrisonburg, VA Metro Area",895,1383,956,1221,4083,18016,1482,6048,53765,1206365,60819,19920,124368,67877,110165,25500,,msa,25500,,2019
"Hartford-East Hartford-Middletown, CT Metro Area",1116,13507,9565,13154,38555,159227,9355,42553,515615,13961500,575954,115132,1165808,656089,994434,25540,,msa,25540,,2019
"Hastings, NE Micro Area",722,266,147,347,991,4263,318,1194,13906,250410,14897,3750,29968,16265,24968,25580,,msa,25580,,2019
"Hattiesburg, MS Metro Area",812,1987,1593,1569,5090,22268,2744,10322,71906,1714255,70372,36590,163649,79846,131757,25620,,msa,25620,,2019
"Hays, KS Micro Area",711,562,239,182,946,4483,402,1710,13254,184875,15251,4271,27569,16589,22974,25700,,msa,25700,,2019
"Heber, UT Micro Area",1397,585,368,366,1223,5886,524,17148,41247,820060,33640,4154,72349,39313,55029,25720,,msa,25720,,2019
"Helena, MT Micro Area",830,881,448,619,1447,9225,694,4356,36733,650010,37592,7777,77912,41749,64529,25740,,msa,25740,,2019
"Helena-West Helena, AR Micro Area",586,177,143,296,896,3878,831,2726,10211,106875,6387,6362,18420,7505,14245,25760,,msa,25760,,2019
"Henderson, NC Micro Area",699,680,240,395,1664,7346,884,3264,20139,439545,17470,9138,43836,20904,35182,25780,,msa,25780,,2019
"Hereford, TX Micro Area",788,74,42,62,316,2210,406,924,7069,117800,7915,2995,18461,8786,13442,25820,,msa,25820,,2019
"Hermiston-Pendleton, OR Micro Area",762,906,571,719,1812,10462,926,4116,35132,665680,35270,14558,83649,40164,68364,25840,,msa,25840,,2019
"Hickory-Lenoir-Morganton, NC Metro Area",692,2804,2426,2995,6528,40722,4514,20301,164809,3654035,157033,53310,358553,178467,300005,25860,,msa,25860,,2019
"Hillsdale, MI Micro Area",703,402,206,403,532,4260,607,3853,21960,452995,17937,7137,44008,20308,36966,25880,,msa,25880,,2019
"Hilo, HI Micro Area",1180,1242,1257,1893,5106,22406,3104,18371,87824,2083860,79751,30632,196381,94121,161098,25900,,msa,25900,,2019
"Hilton Head Island-Bluffton, SC Metro Area",1175,1996,1768,2032,4950,21956,1715,29323,111069,2064895,86415,23468,209037,100432,177763,25940,,msa,25940,,2019
"Hinesville, GA Metro Area",1048,1460,872,1629,2879,14506,959,5882,35062,803965,33628,12891,77565,38711,59580,25980,,msa,25980,,2019
"Hobbs, NM Micro Area",895,492,246,326,1310,7478,981,4087,26610,595465,28026,10698,67623,30848,51389,26020,,msa,26020,,2019
"Holland, MI Micro Area",814,411,306,724,1094,7567,1041,7761,51177,1253785,52471,11890,114800,57422,91234,26090,,msa,26090,,2019
"Homosassa Springs, FL Metro Area",843,1176,633,1140,2910,11537,1222,15960,79641,1122850,42604,22350,142358,50572,126312,26140,,msa,26140,,2019
"Hood River, OR Micro Area",1133,236,66,175,494,2818,409,1314,9914,196140,10407,1419,22983,12369,18267,26220,,msa,26220,,2019
